loan_id,customer_id,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,issue_d,issue_date,issue_year,pymnt_plan,application.type,application.purpose,application.description,application.notes
25089,QWW+mlpAqeF0RUozuxD2hi/fGARZCe3XHP+l1zvMRbk=,Current,5000,NY,5000, 36 months,0.0531,150.56,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
82474,m1DtUg34EUQTD8+5flFovzZsNH3OCHUDTPkc+9gwkDs=,Current,10000,GA,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Joint App,home_improvement,Home improvement,desc
99461,0+fwSz95b3cy/C6t53bzQCXNh6HS87SvFOf888dj2ZI=,Current,10000,MI,10000, 60 months,0.0531,190.14,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
109050,jR6sbnOr9VcMSv9G9cjP/pOORKmRUf0hsoA2R3ed5U4=,Current,11000,NY,11000, 36 months,0.0531,331.22,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
162175,6iVq7nuaudscX4mLlk5n0CuWh3qf7JINApXwAYyFBhU=,Current,16000,CO,16000, 36 months,0.0531,481.76999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
222179,kiPohiLkznQ5tlsFjX9Sw62bMF3lvwgZ74+2EePCi2k=,Fully Paid,25000,WI,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
25070,QNtgZDAJvC5YHzGzyAMN2u1BjaMciUyRjEvDxpqPWBw=,Current,5000,CT,5000, 36 months,0.0531,150.56,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
38975,ej7Ob272U45UfhNoQMP7dNbsUJAgJebz2F6sNzrMMpw=,Current,6000,GA,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Joint App,small_business,Business,desc
222187,4w+VFDTIFvqhFX1fdxrBxIVvBl///WDlTX65eJmQoIE=,Current,25000,CO,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
82495,GJRxPib7aCjmXcdekETTr3DfLOMFWtQFFyem2plBN2s=,Current,10000,WA,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
145359,erIX5O4pmiacL5HAXY/G8Z1FwQ82nZob7rAivFvTZEk=,Current,15000,NY,15000, 36 months,0.0531,451.66,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
166147,z2ILKEWQFpe/30PVV0mpJ8k70bfP64bttS4qcRmfORU=,Current,16000,IL,16000, 60 months,0.0531,304.22,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
230057,AcVvDoF+mXgwXB72D/usLkqIBDWfqCUofljuVIsfOB4=,Current,25200,CA,25200, 36 months,0.0531,758.78003,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
61672,wAztjY6I8kFxPBUq7rXkVKaevg2XH1dxYrLDqeifhkg=,Current,8000,NY,8000, 36 months,0.0531,240.89,A,Apr-18,April 2018,2018,FALSE,Individual,other,Other,desc
209001,6q1l8Zg14+KhMkfJAcQpJSZ+SEhdUUejo8o1o1sr5gQ=,Current,22000,NY,22000, 36 months,0.0531,662.42999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
222212,0dmKoGj40/+A8D9sqbEZ/paZJ/4b9/FOTuf7JYazaLU=,Current,25000,CO,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
58500,b2hzxrXMwptGdS0G3ewtJPCciG/V5cx9wBWj6brmY64=,Current,7500,KS,7500, 36 months,0.0531,225.83,A,Apr-18,April 2018,2018,FALSE,Joint App,home_improvement,Home improvement,desc
187702,g1RC+EV+3TmsidBTHX2bWmTulrGlDlxuAhQfgGVt7Lc=,Current,20000,WV,20000, 36 months,0.0531,602.21002,A,Apr-18,April 2018,2018,FALSE,Joint App,debt_consolidation,Debt consolidation,desc
222194,c+12dBQny3CuHCU+FlqLDznRTQ5h1u4j8qaUqD0yTxU=,Current,25000,OK,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
115671,scIqssdo9JNm0rQHqrBb1UZh9XNkPrc5y4yFxu7+ShE=,Current,12000,SC,12000, 36 months,0.0531,361.32999,A,Apr-18,April 2018,2018,FALSE,Joint App,debt_consolidation,Debt consolidation,desc
115696,HfKH4P29A9zE9jpfgAMuXn0XshfdFPezfonTSNBWxdA=,Current,12000,NJ,12000, 36 months,0.0531,361.32999,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
253560,/UoCqElhSm0isE0aFh21kLoiL8aOtO52pQRMGF5uykY=,Current,35000,CA,35000, 36 months,0.0531,1053.86,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
222172,jnGddE+VEu++1b3Wx0jukcsj4rsWIVc0MYKPuGrBT/4=,Current,25000,IL,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
38970,0olFlDjDtm7XXfdJ7MVswkk2Txfeqqqxt+zr4Bb9gW4=,Current,6000,CA,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
61671,IzhPuPvFR7WLkHHoGH54cooTtatDu3AbRloikYLD4t8=,Current,8000,FL,8000, 36 months,0.0531,240.89,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
115699,jCwRCLcmFm49wOzRfzYe25MjhGKs5N7UvEaGod0ziqs=,Current,12000,NY,12000, 36 months,0.0531,361.32999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
162167,TxWXOytWIcrrWvklD5OaEOEnskuQG7vqOa9KC/zFCJs=,Current,16000,GA,16000, 36 months,0.0531,481.76999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
49298,ShXb76Zee+ZDz6oHn9WRVYRl7qdW89zQGWjPF0ik36M=,Current,6500,NE,6500, 36 months,0.0531,195.72,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
82460,O8WwxDeb0lUSnJAhbGgiywLRdLeZJ+UuI4gJB9E9WhA=,Current,10000,OH,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
82512,aFqvj1K/Abfj3lUjhiSc8y/ghwAystdtNi/IPrNhh5c=,Current,10000,AZ,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
82522,NuqOZkEQWMIqqbzLGYtRGtenif4HAVG4Rcb6OB5Lkz8=,Current,10000,CA,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
38969,UBdTpiSh/QvKXALUBQqPhrYd1tN14REXAMEbe8+H9xE=,Current,6000,NY,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
74285,HNvuFn29TQbAO/KkrhCFi94V8TWxTnlCqXZ6u8Hse0Q=,Current,9000,MD,9000, 36 months,0.0531,271,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
264549,LgO3EkOyzYUOCdtwFWtoyX2gU579LZtGacZ885FFzuo=,Current,40000,FL,40000, 36 months,0.0531,1204.42,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
38976,4+xsJNyMbLSgboMrwAC1eOSXpuLXQ0Hc2y7pzn+znWU=,Current,6000,NV,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
71966,zLIXn8hYNpUhmuxRp/D1W5leC06AnkkMBQdEJwhnmJ8=,Current,8500,CA,8500, 36 months,0.0531,255.94,A,Apr-18,April 2018,2018,FALSE,Individual,other,Other,desc
82448,HVouqDpGOnukeizmazXgn9JDa07t40BLqFszbRVkpTk=,Current,10000,CO,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
115664,3Ol13FrXYblWEX8tp90dUEoIrY9UJ3VpeXbRXemg5L0=,Current,12000,NJ,12000, 36 months,0.0531,361.32999,A,Apr-18,April 2018,2018,FALSE,Individual,moving,Moving and relocation,desc
132418,Vz0pJPlPWyiD1IEvBkqYBrXZ0KVVAz/kzSYkG9jaTY0=,Current,13000,WA,13000, 36 months,0.0531,391.44,A,Apr-18,April 2018,2018,FALSE,Joint App,credit_card,Credit card refinancing,desc
141900,f/4Px0D+hmJCVFUfmfe6NUT6VOo7+jNgMglFztaEbbM=,Current,14400,NY,14400, 36 months,0.0531,433.59,A,Apr-18,April 2018,2018,FALSE,Individual,small_business,Business,desc
222203,RfqPWelh7e1QsKw2C2LImO/bI71HJgikD+axETigaw4=,Current,25000,IL,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Joint App,credit_card,Credit card refinancing,desc
2034,TRG4baWlyrjao7VF1DEQbRka6fykoJtMolYch7owJVI=,Current,1500,IN,1500, 36 months,0.0531,45.169998,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
25092,2U8WR+mSFjqqYLHv2o8/LTBVM1S6025aKWad2NoatJE=,Current,5000,WI,5000, 36 months,0.0531,150.56,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
82418,iw34ktEaKC+1fC+T2+5VvP3f62y57AmgqtPcOU4xWeU=,Current,10000,MA,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
132419,czCRUH+gU+EjZvtWNydcI371NqSIONGmTH5JgiHJXQc=,Current,13000,CA,13000, 36 months,0.0531,391.44,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
264536,deK4pJwwaZ0vASDfv7dwSUkF1YpFtV4K7N8Ld93RGHA=,Current,40000,KS,40000, 36 months,0.0531,1204.42,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
8965,+HzA1iwXXV2KjplDMj29GdoZ5eumrJXrOVw92o4q/RA=,Current,3000,MD,3000, 36 months,0.0531,90.339996,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
38979,aLb1hbqJJkiUjugt6spH94UOtI/Z0N+rqxc8c2J5wqo=,Current,6000,GA,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
47843,5316eUc0/XRNzhYSFotlT0ojJo+x1XNfU3KzHRPz+/M=,Current,6300,AR,6300, 36 months,0.0531,189.7,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
82507,aa3wQ8wj4GuwgdOTujLmqm+JozxqUL7R4jOWgIWWuGg=,Current,10000,NY,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
222173,6NHUwEvTfhuJU6CGPYgI/vY+w1pcsIVrsOcsGCaJECI=,Current,25000,IL,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
253580,aAcog3Z9iTGYwTVRjBofX/q0PsEFoHVVMfSB5Vjrhr4=,Current,35000,CA,35000, 36 months,0.0531,1053.86,A,Apr-18,April 2018,2018,FALSE,Individual,small_business,Business,desc
8971,nPFZ7XG3Xxw6v1iW742eD2QvbRqIQY1U8QcU8JJmD1w=,Current,3000,AZ,3000, 36 months,0.0531,90.339996,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
36215,NBX8/ZHato+U68UiWpeyS5NALPY834RKKIyHSFkYD24=,Current,5500,MA,5500, 36 months,0.0531,165.61,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
145380,ZDjnr0msOnxGakhEGPVOmp0RhJRpRiOQCDNmAvS+BMo=,Current,15000,TN,15000, 36 months,0.0531,451.66,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
187685,yra0+v/Ynn/HKmsZfjAaqOrq3HaRAutx6QPn2Tx8MMY=,Current,20000,MN,20000, 36 months,0.0531,602.21002,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
61669,Sq6n62e9ISJTFkZFc7Ydci4pnPSUpdJmaAs28+AiKIM=,Current,8000,TX,8000, 36 months,0.0531,240.89,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
25079,itRzBmLGMfUarLMAyawmjyMyLY3Zs8rWh9T2RFf7jxY=,Current,5000,OH,5000, 36 months,0.0531,150.56,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
82514,HmAgdL/sIHMV/ZV+YnB0RdpiQimeJ39fRLISWe2BIi0=,Current,10000,WI,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,major_purchase,Major purchase,desc
264428,BkBLfCwROp3FqnmLttplmFF4UUGfyzH0EVuQumrhqZM=,Current,40000,VA,40000, 36 months,0.0531,1204.42,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
264529,B/cr51PiZtIfzsv4lCbGfTHFV3UCVxn9pahh5T428uk=,Current,40000,CA,40000, 36 months,0.0531,1204.42,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
51744,Ah20VjM9J6tXOeTdzaGP3fqBIiUeoJptYSO03VZSt2w=,Current,7000,NM,7000, 36 months,0.0531,210.78,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
56258,qRW13RiAWRfEcI1RLDGFDdVKu3uV4T2VG7U7lBiV/oo=,Current,7200,TX,7200, 36 months,0.0531,216.8,A,Apr-18,April 2018,2018,FALSE,Individual,other,Other,desc
74287,TxpfDMx31n0jSZRCdmzQ2Nsrshdb19vd6rdW6NE4Mj8=,Current,9000,NJ,9000, 36 months,0.0531,271,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
145365,ERpeM/59+56n3uqFAG/J7xSt5cyx5LeFovIsbSjVNzE=,Current,15000,AZ,15000, 36 months,0.0531,451.66,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
78161,Xubs0TVwuyqNqE6NKqpMjcahcuidn67vE32jANHN1Rg=,Current,9500,NY,9500, 36 months,0.0531,286.04999,A,Apr-18,April 2018,2018,FALSE,Joint App,debt_consolidation,Debt consolidation,desc
187704,fEYe1Y8ttWN6SdnHq5Zme++9wqsTfa1oEkpODDCBXTY=,Current,20000,KS,20000, 36 months,0.0531,602.21002,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
204121,I2gHuOOKIVImdcoZiN6p7YGbvqgmqcgEYraovqkVXEE=,Current,21000,PA,21000, 36 months,0.0531,632.32001,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
209003,4+EFKbeAL8IKUHaAu2yLzR1OBFYgIGgj3Vg1xeLBnQ8=,Current,22000,CA,22000, 36 months,0.0531,662.42999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
38960,fUS4ZgrUtaOBMbEQV1d3uIgCMqbqi8PZy5UUlfSZYDo=,Current,6000,AR,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
82459,eD3/jYxHcYQFdj9TZ0XzjxDaqHaBfxHd+iJaO7njpKQ=,Current,10000,OH,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
82467,qSOstcGEAqXOw9MpzYos1FcWFfFR4jIsNkNHIHmNDUw=,Current,10000,MD,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Joint App,debt_consolidation,Debt consolidation,desc
145357,pg6FgWRpHFsQtto5jWWC4uYMgQSWQfy2ktnlfKqAwds=,Current,15000,FL,15000, 36 months,0.0531,451.66,A,Apr-18,April 2018,2018,FALSE,Individual,major_purchase,Major purchase,desc
187365,noKt6xNr+86v4mfcbb57zNUVp0W/oTPUZ9tSKW1wMqU=,Current,20000,NY,20000, 36 months,0.0531,602.21002,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
253575,Nsmrl+jIVjI9b58p8ReVpsqjL1yIPOv4Zng0+XB5cic=,Current,35000,OR,35000, 36 months,0.0531,1053.86,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
264512,HH5iwyWi8MbgiumXQbQW7+A3APwrmtXdn5gpGqhUVZg=,Current,40000,TX,40000, 36 months,0.0531,1204.42,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
25066,39XQpUvTn4WFWuR65Lou7NTvpd6OXuebBtLuGMtjpyg=,Current,5000,OR,5000, 36 months,0.0531,150.56,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
115692,m2xkLS0RPPGsULiGt+i+h0Kc+KbDaeusPEwodrj8Cm8=,Current,12000,IL,12000, 36 months,0.0531,361.32999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
145352,PMg4qwSPGLA2H6Fq2fZFX3PtfkiOid8yqyOWvZyDYeE=,Current,15000,IN,15000, 36 months,0.0531,451.66,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
208996,I2WIC2kwXDzUG4x2SBHqTw5G7V5uIeEg1NouZiOJTy4=,Current,22000,TX,22000, 36 months,0.0531,662.42999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
222193,oiSNWhFC4FsIfkOT5H024caLVUo7tjSsaPdpK3bJY1Q=,Current,25000,AZ,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Joint App,debt_consolidation,Debt consolidation,desc
240104,vXJJHztcI9j7KQdGuECn7WVDWtgWf6b2lTymFAu6SBk=,Current,30000,CO,30000, 36 months,0.0531,903.31,A,Apr-18,April 2018,2018,FALSE,Joint App,debt_consolidation,Debt consolidation,desc
38974,ZZOA2jvhYdxxPEK7d0X2UiPcBjyzLOVp/A4q+TB0AEk=,Current,6000,HI,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Individual,major_purchase,Major purchase,desc
82480,totJPbdUW/T7zFLlD0Fk4erkvZRXkyqVGSM4xqm8aM8=,Current,10000,MI,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
82492,EqBZhXTy8t/9wOO4atbouEM9eFyDZ+Ik0r2bQppb3s4=,Current,10000,FL,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,car,Car financing,desc
1823,J0bQRXFPkZ7B0COFP4Q7mcseDWi+zJz/scQHq/FbiEk=,Fully Paid,1400,FL,1400, 36 months,0.0531,42.16,A,Apr-18,April 2018,2018,FALSE,Individual,other,Other,desc
80961,HWsvTpmjcy4x5OqheYQrGmqh94Ckd7/IEx5ACXYvmxU=,Current,9800,FL,9800, 36 months,0.0531,295.09,A,Apr-18,April 2018,2018,FALSE,Individual,house,Home buying,desc
82440,Hb/WbL5GQOo/WKfoHVqF3u8+iatcegeyQxInLEt03V4=,Current,10000,NY,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
115666,q8rjUmgqpJYv6JcosXkYisswtrLhlaBW3DqD+/E+4GQ=,Current,12000,IN,12000, 36 months,0.0531,361.32999,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
129727,FpWoPYYqq7d3CYFkAxoeWRXFeEi7Q2/qWSlcZuK86Io=,Current,12500,PA,12500, 36 months,0.0531,376.38,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
145076,yvKE0BkRGj6oeok3YbTP4W896S26ermMZCRvGqHSmkU=,Current,15000,FL,15000, 36 months,0.0531,451.66,A,Apr-18,April 2018,2018,FALSE,Individual,other,Other,desc
264545,h+ziaSxaQCaJdD6N0dQH63b4RvQ2gnI2GgliIS8vezg=,Current,40000,MI,40000, 36 months,0.0531,1204.42,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
264547,VZLJFcwrBOrQ4mKqe+vkFAP1LqM/Ma+F+iyxnOR/3f0=,Current,40000,MA,40000, 36 months,0.0531,1204.42,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
38981,ZuvWBbI/9ZHFLTJEpMFgqVoDWqB+0fUUZU5VV6jGXb0=,Fully Paid,6000,VA,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
109049,B3Ln66hN+f8ndiVJlUICua+pLwFGf/bWaIuCnI0kI+k=,Current,11000,TN,11000, 36 months,0.0531,331.22,A,Apr-18,April 2018,2018,FALSE,Joint App,debt_consolidation,Debt consolidation,desc
137541,3m8P6nfzD3N7gRBCpoA/HkQgT3KbN+/th+lxsc4I4qs=,Current,14000,WA,14000, 36 months,0.0531,421.54999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
145368,5akCvNaYqtY2V/OSIBcoU2S+tCCZSFeahoD9/ajn76s=,Current,15000,VA,15000, 36 months,0.0531,451.66,A,Apr-18,April 2018,2018,FALSE,Individual,house,Home buying,desc
253576,rwbq8M90BOlbo6VkFwDBVkRkfo+a13ilZ0Kcgi2nFUY=,Current,35000,NJ,35000, 36 months,0.0531,1053.86,A,Apr-18,April 2018,2018,FALSE,Individual,house,Home buying,desc
264514,NkwKfDJfODyQZcE+blvESEUrY7NjqBERxgYWq0W5NkA=,Current,40000,TX,40000, 36 months,0.0531,1204.42,A,Apr-18,April 2018,2018,FALSE,Joint App,credit_card,Credit card refinancing,desc
